team,year,opponent,home,neutral,away,points_team,points_opponent,possession_team,possession_opponent,ppp_off_team,ppp_def_team,ppp_off_opp,ppp_def_opp,game_id
air-force,2026,Wyoming,True,False,False,56.0,68.0,67.8,68.88,0.8259587020648967,0.9872241579558654,0.9872241579558654,0.8259587020648967,20251230airforcewyoming
air-force,2026,UNLV,False,False,True,39.0,67.0,63.72,64.8,0.6120527306967986,1.0339506172839508,1.0339506172839508,0.6120527306967986,20260103airforceunlv
air-force,2026,Utah State,True,False,False,62.0,99.0,67.36,66.48,0.9204275534441805,1.4891696750902526,1.4891696750902526,0.9204275534441805,20260106airforceutahstate
air-force,2026,New Mexico,True,False,False,49.0,91.0,67.48,69.04,0.7261410788381742,1.3180764774044031,1.3180764774044031,0.7261410788381742,20260110airforcenewmexico
air-force,2026,San Jose State,False,False,True,62.0,70.0,59.6,59.56,1.0402684563758389,1.1752854264607118,1.1752854264607118,1.0402684563758389,20260113airforcesanjosestate
air-force,2026,Nevada,True,False,False,66.0,81.0,68.64,66.24,0.9615384615384616,1.2228260869565217,1.2228260869565217,0.9615384615384616,20260117airforcenevada
air-force,2026,Colorado State,False,False,True,52.0,81.0,65.28,62.12,0.7965686274509803,1.3039278815196396,1.3039278815196396,0.7965686274509803,20260120airforcecoloradostate
air-force,2026,Boise State,False,False,True,54.0,96.0,60.84,63.0,0.8875739644970414,1.5238095238095237,1.5238095238095237,0.8875739644970414,20260124airforceboisestate
akron,2026,James Madison,True,False,False,85.0,71.0,71.76,74.72,1.1845039018952062,0.9502141327623127,0.9502141327623127,1.1845039018952062,20251103akronjamesmadison
akron,2026,Princeton,True,False,False,104.0,69.0,78.24,79.8,1.329243353783231,0.8646616541353384,0.8646616541353384,1.329243353783231,20251108akronprinceton
akron,2026,Penn St. Shenango,True,False,False,109.0,51.0,83.76,83.88,1.3013371537726839,0.6080114449213162,0.6080114449213162,1.3013371537726839,20251112akronpennst.shenango
akron,2026,Purdue,False,False,True,79.0,97.0,73.48,70.12,1.075122482308111,1.383342840844267,1.383342840844267,1.075122482308111,20251116akronpurdue
akron,2026,Iona,False,True,False,96.0,75.0,76.0,77.8,1.263157894736842,0.9640102827763497,0.9640102827763497,1.263157894736842,20251121akroniona
akron,2026,Evansville,False,True,False,97.0,59.0,69.88,68.12,1.3880938752146539,0.8661186142102172,0.8661186142102172,1.3880938752146539,20251123akronevansville
akron,2026,Yale,False,True,False,94.0,97.0,68.96,63.24,1.363109048723898,1.5338393421884882,1.5338393421884882,1.363109048723898,20251124akronyale
akron,2026,Milwaukee,True,False,False,105.0,81.0,77.92,78.48,1.3475359342915811,1.0321100917431192,1.0321100917431192,1.3475359342915811,20251129akronmilwaukee
akron,2026,Bucknell,True,False,False,97.0,77.0,69.12,71.08,1.4033564814814814,1.0832864378165448,1.0832864378165448,1.4033564814814814,20251203akronbucknell
akron,2026,Tulane,False,False,True,88.0,71.0,72.48,72.68,1.2141280353200883,0.9768849752339019,0.9768849752339019,1.2141280353200883,20251206akrontulane
akron,2026,Murray State,False,True,False,100.0,115.0,83.0,82.0,1.2048192771084338,1.4024390243902438,1.4024390243902438,1.2048192771084338,20251213akronmurraystate
akron,2026,Eastern Michigan,True,False,False,93.0,72.0,74.16,72.44,1.2540453074433657,0.9939260077305356,0.9939260077305356,1.2540453074433657,20251219akroneasternmichigan
akron,2026,Concord,True,False,False,115.0,64.0,77.6,80.52,1.481958762886598,0.7948335817188277,0.7948335817188277,1.481958762886598,20251229akronconcord
akron,2026,Miami (OH),False,False,True,73.0,76.0,73.4,70.2,0.994550408719346,1.0826210826210825,1.0826210826210825,0.994550408719346,20260103akronmiami(oh)
akron,2026,Central Michigan,True,False,False,82.0,69.0,68.96,68.88,1.1890951276102089,1.0017421602787457,1.0017421602787457,1.1890951276102089,20260106akroncentralmichigan
akron,2026,Bowling Green,False,False,True,77.0,67.0,75.92,72.16,1.0142255005268703,0.9284922394678493,0.9284922394678493,1.0142255005268703,20260109akronbowlinggreen
akron,2026,Ball State,True,False,False,87.0,77.0,71.04,69.36,1.224662162162162,1.110149942329873,1.110149942329873,1.224662162162162,20260113akronballstate
akron,2026,Western Michigan,True,False,False,104.0,89.0,67.96,70.16,1.5303119482048264,1.2685290763968073,1.2685290763968073,1.5303119482048264,20260117akronwesternmichigan
akron,2026,Buffalo,False,False,True,82.0,63.0,67.36,69.72,1.2173396674584323,0.9036144578313253,0.9036144578313253,1.2173396674584323,20260120akronbuffalo
akron,2026,Ohio,False,False,True,86.0,65.0,76.44,72.88,1.1250654107796965,0.8918770581778266,0.8918770581778266,1.1250654107796965,20260123akronohio
akron,2026,Toledo,True,False,False,91.0,81.0,69.16,69.72,1.3157894736842106,1.161790017211704,1.161790017211704,1.3157894736842106,20260127akrontoledo
akron,2026,Kent State,True,False,False,69.0,52.0,69.28,69.24,0.995958429561201,0.7510109763142693,0.7510109763142693,0.995958429561201,20260130akronkentstate
alabama,2026,North Dakota,True,False,False,91.0,62.0,76.88,75.48,1.1836628511966703,0.8214096449390567,0.8214096449390567,1.1836628511966703,20251103alabamanorthdakota
alabama,2026,St. John's (NY),False,False,True,103.0,96.0,84.68,85.6,1.216343882853094,1.1214953271028039,1.1214953271028039,1.216343882853094,20251108alabamast.john's(ny)
alabama,2026,Purdue,True,False,False,80.0,87.0,71.4,68.12,1.1204481792717087,1.2771579565472695,1.2771579565472695,1.1204481792717087,20251113alabamapurdue
alabama,2026,Illinois,False,True,False,90.0,86.0,77.12,80.68,1.16701244813278,1.0659395141298957,1.0659395141298957,1.16701244813278,20251119alabamaillinois
alabama,2026,Gonzaga,False,True,False,85.0,95.0,79.12,77.44,1.0743174924165824,1.2267561983471076,1.2267561983471076,1.0743174924165824,20251124alabamagonzaga
alabama,2026,UNLV,False,True,False,115.0,76.0,80.4,80.16,1.4303482587064675,0.9481037924151697,0.9481037924151697,1.4303482587064675,20251126alabamaunlv
alabama,2026,Maryland,False,True,False,105.0,72.0,78.92,81.84,1.3304612265585403,0.8797653958944281,0.8797653958944281,1.3304612265585403,20251127alabamamaryland
